No.,Questions,Answers
1,"
Office 2021 (1 回限りの購入) と Microsoft 365 (サブスクリプション) の違いは何ですか?","Office 2021 は 1 回限りの購入版として販売されています。つまり、お支払いは最初の 1 回だけで Office アプリを 2 台の Windows PC または Mac で利用できます。ただし、アップグレードのオプションは用意されていません。つまり、次のメジャー リリースにアップグレードするには、そのリリースを通常価格で購入する必要があります。

Microsoft 365 はサブスクリプション方式で販売されており、共同作業のための最新の機能が統合されてシームレスに使用できます。Microsoft 365 には、多くの人に親しまれている Word、PowerPoint、Excel などの Office デスクトップ アプリが含まれています。また、大容量のオンライン ストレージとクラウド接続型機能も含まれているため、ファイルの共同作業をリアルタイムで行うことができます。サブスクリプションなら、常に最新の機能、修正、セキュリティ更新プログラムを利用できます。テクニカル サポートも、追加費用なしでいつでも利用できます。サブスクリプション料金のお支払いは、毎月か年 1 回かを選ぶことができます。Microsoft 365 Family プランでは、サブスクリプションを家族と共有して最大 6 人で使用することもでき、アプリを複数の Windows PC、Mac、タブレット、スマートフォンで使用できます。"
2,"自分の Windows PC や Mac で Microsoft 365 を実行できるかどうかを調べる方法を教えてください。
",Microsoft 365 は Windows PC、Mac、Android、iOS に対応しています2。システム要件のページで、対応するデバイスのバージョンとその他の機能要件をご覧ください。 
3,Microsoft 365 は Windows PC でも Mac でもまったく同じですか?,いいえ。アプリは各オペレーティング システムで最高の状態で動作するように作られています。Mac で利用できるアプリとその機能は、Windows PC とは異なる可能性があります。Microsoft 365 の特長は柔軟性です。1 つのアカウントで Mac と Windows PC の一方しか使用できないということはなく、別のデバイスに移行することもできます。
4,Microsoft 365 サブスクリプションでも、自分のドキュメントを自分自身で管理できますか?,はい。あなたが作成したドキュメントは、すべてあなたのものです。ファイルをオンラインの OneDrive に保存するか、ローカルの Windows PC や Mac に保存するかは、自分で選ぶことができます。
5,Microsoft 365 を使用するためにインターネット アクセスは必要ですか?,"
インターネット アクセスは、最新のアプリとサービスをインストールしてライセンス認証するために必要です。これは Microsoft 365 のすべてのサブスクリプション プランに共通です。なお、現在サブスクリプションをご利用中の場合に再インストールや別のサブスクリプションの購入が必要になることはありません。

Microsoft 365 のプランの場合は、サブスクリプション アカウントを管理するときもインターネット アクセスが必要になります。たとえば、Office を他の PC にインストールするときや、支払い方法を変更するときなどです。さらに、OneDrive に保存されているドキュメントにアクセスするときも、インターネット アクセスが必要です (OneDrive デスクトップ アプリがインストールされている場合を除く)。
また、購入した Microsoft 365 を常に最新の状態に保ち、自動アップグレードを利用するには、定期的にインターネットに接続する必要があります。インターネットに接続しない状態が 31 日以上続くと、アプリは機能制限モードとなります。つまり、ドキュメントの閲覧や印刷はできますが、ドキュメントの編集や新規作成はできなくなります。アプリの全機能を再び使用できるようにするには、インターネットに再接続します。
インターネットに接続していなくても Office アプリ (Word、Excel、PowerPoint など) は使用できます。これらのアプリは、フル機能がユーザーのコンピューターにインストールされるからです。"
6,Microsoft アカウントとは何ですか? なぜ Microsoft 365 に必要ですか?,"Microsoft アカウントとは、メール アドレスとパスワードの組み合わせであり、これを使用して OneDrive、Xbox LIVE、Outlook.com などのサービスにサインインします。これらのサービスを 1 つでも使用していれば、既に Microsoft アカウントを持っていることになるので、そのアカウントを使用できます。新しいアカウントを作成することもできます。Microsoft アカウントの詳細については、こちらをご覧ください。

Microsoft 365 の試用版にサインアップするときや購入するときに、Microsoft アカウントでのサインインが必要になります。Microsoft 365 サブスクリプションのインストールや管理を行うときや、サブスクリプションの特典 (OneDrive のストレージなど) を利用するときは、このアカウントでサインインしている必要があります。"
7,1 つの Microsoft 365 サブスクリプションを何人で使用できますか?,Microsoft 365 Family は 5 名のご家族と共有できます (合計 6 ユーザー)。Microsoft 365 Personal は 1 人で使用できます。
8,サブスクリプションの特典を家族と共有する方法を教えてください。,"
有効な Microsoft 365 Family サブスクリプションをお持ちの場合は、最大 5 名のご家族と共有することができます。サブスクリプションを共有するご家族は、Microsoft 365 をすべてのデバイスにインストールして 1 人あたり最大 5 台のデバイスに同時にサインインすることができます。

他の人をサブスクリプションに追加するには、account.microsoft.com にアクセスし、画面に表示される指示に従ってユーザーを追加します。追加された人には、その人が実行する必要のある手順が記載されたメールが送信されます。その人が同意して手順を完了すると、その人の情報やインストール済みの数などがマイ アカウント ページに表示されます。他の人とのサブスクリプション共有を停止する、または他の人が使用しているデバイスを除去するには、account.microsoft.com にアクセスしてください。"
9,Microsoft 365 を購入前に試用することはできますか?,"はい。Microsoft 365 の Web サイトでサインアップして Microsoft 365 Personal を 1 か月間無料で試用できます (この無料の試用にはクレジット カードが必要です)。この試用版では、Microsoft 365 Personal のすべての機能を利用できます。以下の機能が含まれます。

フル機能の Office デスクトップ アプリ (Word、PowerPoint、Excel、Outlook など。Windows PC の場合はさらに Publisher と Access)。また、OneNote の追加機能にもアクセスできます (機能は環境によって異なります)。
1 TB の追加の OneDrive クラウド ストレージ。ドキュメント、写真、ビデオをオンラインで保存して、どこからでもアクセスできます。
60 分間の Skype 無料通話。携帯電話や固定電話への発信に使用できます3。一覧をご覧ください。"
10,試用版にサインアップするために必要な手順を教えてください。,"Microsoft アカウントを新規作成するか、既存のアカウントでサインインします。Microsoft アカウントとは何かについては、こちらをご覧ください。
無料試用期間終了後の毎月のお支払いのための情報を入力します。国際クレジット カードと PayPal (対象地域のみ) を利用できます。
ここで指定された支払い方法には、1 か月の無料期間の終了時に自動的に請求されるため、サービスが中断されることなく継続して利用できます。試用期間終了前にキャンセルしてもペナルティが発生することはありません。キャンセルするには、account.microsoft.com にアクセスして、支払いと課金情報のセクションで継続請求をオフにします。
支払い方法の確認が完了すると、account.microsoft.com で Office アプリをインストールできるようになります。"
